ID,pair,dist
N1,1-2,0.45036891794029027
N1,1-3,3.1537770980739586
N1,2-3,2.7102349550547715
N10,1-2,1.535999458146017
N10,1-3,0.5144991802163434
N10,2-3,1.0478712278712305
N11,1-2,0.5817140676681452
N11,1-3,2.026887221562787
N11,2-3,2.5977439516694285
N12,1-2,0.16864421532115448
N12,1-3,0.5900365777807407
N12,2-3,0.42265712953073786
N13,1-2,0.14042581689459374
N13,1-3,0.42541251299659244
N13,2-3,0.2951978852212051
N14,1-2,0.1267895522602136
N14,1-3,0.2269912727140425
N14,2-3,0.34848302293789285
N15,1-2,0.1042439462946183
N15,1-3,0.6947991704339747
N15,2-3,0.5918948791149966
N16,1-2,0.10595070204817365
N16,1-3,4.189097358381533
N16,2-3,4.279530777737187
N17,1-2,1.5278096252030775
N17,1-3,0.6013504875562715
N17,2-3,0.9278467538260169
N18,1-2,0.5498651058721679
N18,1-3,2.437934314829968
N18,2-3,1.8897007965783852
N19,1-2,0.22329753005607753
N19,1-3,0.17998030553935526
N19,2-3,0.11457320666002159
N2,1-2,1.1177121033186388
N2,1-3,2.2895631421836917
N2,2-3,1.1752068687788086
N20,1-2,0.7123629232991611
N20,1-3,0.07219293605154792
N20,2-3,0.6798406232869664
N21,1-2,1.629108546066984
N21,1-3,0.44907995292433345
N21,2-3,1.1829088235398044
N22,1-2,0.21171741474378655
N22,1-3,0.7811605582850281
N22,2-3,0.5695049434510708
N23,1-2,1.3766611211339346
N23,1-3,1.2464392743912847
N23,2-3,0.20645760111603165
N24,1-2,0.5558689846783885
N24,1-3,0.1705287728483658
N24,2-3,0.48206720428450994
N25,1-2,1.4816891411860178
N25,1-3,0.6384366508065775
N25,2-3,2.095740987740572
N26,1-2,1.6902814257886265
N26,1-3,1.2515566285516626
N26,2-3,0.5405742244855617
N27,1-2,1.4597306696253163
N27,1-3,0.35242069177442015
N27,2-3,1.1244300085472398
N28,1-2,1.4252363548955076
N28,1-3,1.9517826580981072
N28,2-3,0.5293709921305869
N29,1-2,0.8900540052518011
N29,1-3,0.8749678860747505
N29,2-3,0.052442419031465196
N3,1-2,0.051563352673767195
N3,1-3,0.2355761305909812
N3,2-3,0.19853488730862276
N30,1-2,0.7277555357839793
N30,1-3,1.148566510618189
N30,2-3,0.43550884737634366
N4,1-2,0.2638630467694416
N4,1-3,2.2306462722955547
N4,2-3,2.4884532066275447
N5,1-2,2.944829428358597
N5,1-3,4.40472957931624
N5,2-3,1.4882799463999798
N6,1-2,0.48220445848711274
N6,1-3,0.6404075949648435
N6,2-3,0.24417181276407698
N7,1-2,3.684018573122351
N7,1-3,3.5187134042855934
N7,2-3,0.20876539493661908
N8,1-2,1.1609021428656228
N8,1-3,0.8026587739448725
N8,2-3,0.40648686993507027
N9,1-2,2.3608622684564367
N9,1-3,2.7775041949968102
N9,2-3,0.42473506529511573
P1,1-2,0.9353582647616958
P1,1-3,1.3966423037776745
P1,2-3,0.4629956751308421
P10,1-2,0.975834566714383
P10,1-3,1.8769547117389287
P10,2-3,0.9039046678748218
P11,1-2,1.7180396552654376
P11,1-3,1.3063659493518376
P11,2-3,0.4166069623892677
P12,1-2,1.712148518501353
P12,1-3,0.09813315749449603
P12,2-3,1.6764240440391838
P13,1-2,0.8465466104178192
P13,1-3,1.2357851869015042
P13,2-3,2.0807882491989993
P14,1-2,0.19200447329700382
P14,1-3,0.2762011280228725
P14,2-3,0.44258861101733127
P15,1-2,1.0965016882019485
P15,1-3,3.7614094558562723
P15,2-3,4.80422054470588
P16,1-2,0.9812970582696847
P16,1-3,0.2830673096456268
P16,2-3,0.7051931548727451
P17,1-2,0.17072766843030043
P17,1-3,0.3913807921367649
P17,2-3,0.24435403324970204
P18,1-2,0.09506414632082519
P18,1-3,0.3725504462606959
P18,2-3,0.2941373867076581
P19,1-2,0.316745878683884
P19,1-3,0.2756250277908813
P19,2-3,0.06416305353771151
P2,1-2,0.6354577263636947
P2,1-3,1.4553927295640334
P2,2-3,0.820326475211471
P20,1-2,0.6186498425025823
P20,1-3,0.7491656882965627
P20,2-3,0.1366123306670458
P21,1-2,0.3496545886375763
P21,1-3,0.6838188715657159
P21,2-3,0.980869486319634
P22,1-2,6.530659631514598
P22,1-3,8.045491273708137
P22,2-3,1.5551031394028239
P23,1-2,1.579304735658108
P23,1-3,0.5390047249690704
P23,2-3,1.0552509904913643
P24,1-2,0.056317277646610056
P24,1-3,0.09845714240499989
P24,2-3,0.0997414183188857
P25,1-2,0.6410023642944386
P25,1-3,1.200464891097868
P25,2-3,1.1481298008428413
P26,1-2,0.10046928235844356
P26,1-3,0.3907638898309514
P26,2-3,0.4042753562327644
P27,1-2,0.42005825662811486
P27,1-3,0.691774713266401
P27,2-3,0.2741519378527755
P28,1-2,0.41458354859545504
P28,1-3,0.2559350674643863
P28,2-3,0.6010031438170685
P29,1-2,0.30333608077675167
P29,1-3,0.06617417191019469
P29,2-3,0.2712442282390539
P3,1-2,0.13127155842931554
P3,1-3,0.7051109201209224
P3,2-3,0.6112577275779958
P30,1-2,0.5059712684115572
P30,1-3,1.8836277100579084
P30,2-3,1.3807268997951767
P31,1-2,2.8473714452157455
P31,1-3,1.824739056123642
P31,2-3,1.0291280510281506
P4,1-2,0.4248122052467122
P4,1-3,0.10790656165039239
P4,2-3,0.5171303510914821
P5,1-2,0.17324740422502607
P5,1-3,0.5324521750034642
P5,2-3,0.6899160697844583
P6,1-2,0.27935217620168584
P6,1-3,2.2348222893413476
P6,2-3,1.9571774559429786
P7,1-2,1.1588402402739792
P7,1-3,2.762723458098415
P7,2-3,3.9151881697365445
P8,1-2,4.0008082236486695
P8,1-3,3.2216727371427476
P8,2-3,0.7944494211731239
P9,1-2,3.33048100228873
P9,1-3,0.4661640061030782
P9,2-3,3.760519023452874
