label_col,method,n,seed_mean,seed_std,seed_median,fold_id_mean,fold_id_std,fold_id_median,n_train_real_mean,n_train_real_std,n_train_real_median,n_test_real_mean,n_test_real_std,n_test_real_median,y_pos_train_real_mean,y_pos_train_real_std,y_pos_train_real_median,y_pos_test_real_mean,y_pos_test_real_std,y_pos_test_real_median,pls_n_components_mean,pls_n_components_std,pls_n_components_median,r2_train_mean,r2_train_std,r2_train_median,q2_test_mean,q2_test_std,q2_test_median,roc_auc_test_mean,roc_auc_test_std,roc_auc_test_median,pr_auc_test_mean,pr_auc_test_std,pr_auc_test_median,real_vs_synth_auc_mean,real_vs_synth_auc_std,real_vs_synth_auc_median,knn_domain_overlap_mean,knn_domain_overlap_std,knn_domain_overlap_median,dist_rr_median_mean,dist_rr_median_std,dist_rr_median_median,dist_rs_median_mean,dist_rs_median_std,dist_rs_median_median,dist_rr_q25_mean,dist_rr_q25_std,dist_rr_q25_median,dist_rr_q75_mean,dist_rr_q75_std,dist_rr_q75_median,dist_rs_q25_mean,dist_rs_q25_std,dist_rs_q25_median,dist_rs_q75_mean,dist_rs_q75_std,dist_rs_q75_median,dist_wasserstein_rr_rs_mean,dist_wasserstein_rr_rs_std,dist_wasserstein_rr_rs_median,gen_pca_dims_mean,gen_pca_dims_std,gen_pca_dims_median,gen_pca_var_cum_mean,gen_pca_var_cum_std,gen_pca_var_cum_median,n_synth_mean,n_synth_std,n_synth_median
y_anamnes_H_vs_path,baseline,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.3326734340648372,0.11163433371056915,0.31670407731325323,-2.0791810214695845,5.050946705592799,-0.2567915977511228,0.523611111111111,0.22744349663758462,0.5555555555555556,0.5537777777777777,0.17349225013930028,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
y_anamnes_H_vs_path,classic,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.3297028385271791,0.1090536626495071,0.3204925185617834,-1.864474256473602,4.2432340510411155,-0.2180656467655261,0.5298148148148147,0.2211733418386036,0.5277777777777778,0.5584074074074074,0.17473923455796783,0.5444444444444445,0.16086984126984125,0.0462655354360493,0.15988095238095235,0.2981269841269842,0.003686354430477311,0.29761904761904767,5.284920291900635,1.2932548445072014,4.92403769493103,4.693736732800802,1.1096344084499659,4.352400064468384,2.967687617142995,0.5221119340366479,2.923991322517395,9.02449026743571,1.5164566660401295,9.132373332977295,2.435281898975372,0.4365928784251487,2.398728609085083,8.798353662490845,1.5633817306875353,8.853472232818604,0.5235085314078188,0.12844351919822083,0.5159440508407102,,,,,,,72.0,0.0,72.0
y_anamnes_H_vs_path,vae,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.15397967074207433,0.06727509987148815,0.13936895771820867,-1.9490825302078312,5.1421556744339165,-0.2341328052504137,0.5128703703703703,0.2235702997172909,0.5,0.5482222222222222,0.17736257209068354,0.5,0.36433333333333334,0.1878389801818684,0.3416666666666667,0.36727777777777776,0.06020175396706405,0.36250000000000004,5.284920291900635,1.2932548445072014,4.92403769493103,3.8237116130193076,0.8407558343481732,3.7715468406677246,2.967687617142995,0.5221119340366479,2.923991322517395,9.02449026743571,1.5164566660401295,9.132373332977295,2.62342568953832,0.6731300857141802,2.56440806388855,5.614896362622579,0.9905698132955236,5.626127004623413,1.879252135581478,0.3591706055126541,1.9014148493814795,2.7533333333333334,0.43251514566593513,3.0,0.9794533304373423,0.012053393341494419,0.9843991994857788,12.0,0.0,12.0
y_healthy_vs_any,baseline,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,10.0,0.0,10.0,5.0,0.0,5.0,2.0,0.0,2.0,0.33205666468954614,0.15496096413516725,0.2899646683775127,-4.651028461251472,7.848147690275087,-0.9917524801368388,0.15466666666666667,0.16732665744234462,0.2,0.779488888888889,0.06818269166879226,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
y_healthy_vs_any,classic,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,10.0,0.0,10.0,5.0,0.0,5.0,2.0,0.0,2.0,0.32778943264076305,0.15295515257204323,0.2918708805048036,-4.500816059604064,7.633988775322853,-1.0735025178244406,0.15466666666666667,0.16892342360521112,0.2,0.7792666666666668,0.06879041216164597,0.81,0.1563365079365079,0.04047083966913128,0.16047619047619047,0.29836507936507944,0.0034907437195378687,0.29761904761904767,5.260700850486756,1.1594726521559315,4.978493690490723,4.642761677106222,0.9779600943301585,4.437137603759766,2.965804289182027,0.40796257685060583,3.063649296760559,9.048087615966796,1.3787930068035557,9.112427711486816,2.4538946453730266,0.38406683575781314,2.4251209497451782,8.795194050470988,1.4417701951107167,8.834391117095947,0.5470250224813973,0.12111684657061006,0.5251222589355851,,,,,,,72.0,0.0,72.0
y_healthy_vs_any,vae,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,10.0,0.0,10.0,5.0,0.0,5.0,2.0,0.0,2.0,0.15944227369159417,0.0794078080105907,0.1422052914175801,-4.059459699797099,6.734265361372819,-0.9644427221153862,0.17866666666666664,0.19817511972006638,0.2,0.7872222222222223,0.07402905355716247,0.81,0.34644444444444444,0.17828191011157044,0.35,0.36183333333333334,0.062265742942815124,0.3583333333333334,5.260700850486756,1.1594726521559315,4.978493690490723,3.838052698771159,0.7607790671428367,3.8014997243881226,2.965804289182027,0.40796257685060583,3.063649296760559,9.048087615966796,1.3787930068035557,9.112427711486816,2.6445620505015057,0.6031737404282861,2.594988226890564,5.633406132062277,0.8441678151756964,5.693051099777222,1.8662721920151397,0.32075354438264936,1.8921075293211018,2.6733333333333333,0.47056536988797587,3.0,0.9773394246896108,0.013770051144297748,0.9841700792312622,12.0,0.0,12.0
y_parodont_H_vs_path,baseline,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.22311296589842178,0.09610672666789301,0.2165259670897967,-0.6771915988599311,2.0558876204525616,-0.1975513207428039,0.47138888888888897,0.20844969407663558,0.5,0.5098148148148147,0.16061363018061578,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
y_parodont_H_vs_path,classic,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.22368812026943555,0.09462506000108376,0.21578049841545405,-0.690204801382099,2.275678392582346,-0.17216793561197252,0.4712037037037038,0.20950822493551316,0.5,0.512074074074074,0.16862477222141015,0.4777777777777778,0.1570349206349206,0.04354055079381349,0.15285714285714286,0.2981746031746032,0.0037256738279415015,0.29761904761904767,5.296925233205159,1.260711826063768,4.978493690490723,4.655436027844747,1.0360055635567171,4.437242031097412,2.9335513353347777,0.42314343796379866,2.9221816062927246,9.061056934992472,1.3791224012113896,9.029999732971191,2.4386541438102722,0.37386041940200504,2.4009307622909546,8.814227288564046,1.458020423715384,8.845008850097656,0.5366812865690804,0.12752447623380705,0.5273944784018902,,,,,,,72.0,0.0,72.0
y_parodont_H_vs_path,vae,150,2.0,1.4189513095212065,2.0,14.5,8.68443798338432,14.5,12.0,0.0,12.0,6.0,0.0,6.0,4.666666666666667,0.47298376984040214,5.0,2.3333333333333335,0.4729837698404021,2.0,2.0,0.0,2.0,0.11035820284243732,0.05933304839398585,0.10460677099984594,-0.5468757241095211,1.315603967900147,-0.15473410270925447,0.4755555555555556,0.20066795411021088,0.5,0.5105555555555555,0.14921841837543875,0.5,0.37633333333333335,0.1690684879470564,0.36666666666666664,0.36694444444444446,0.06749635189596717,0.3666666666666667,5.296925233205159,1.260711826063768,4.978493690490723,3.8596592553456626,0.7566789129340825,3.8268632888793945,2.9335513353347777,0.42314343796379866,2.9221816062927246,9.061056934992472,1.3791224012113896,9.029999732971191,2.6517435272534686,0.6320863419681192,2.6088725328445435,5.668339837392171,0.9039166589104682,5.699237108230591,1.8672282556727882,0.37580702051443393,1.9295724058203925,2.7266666666666666,0.447163568809774,3.0,0.9781968275705973,0.013166124947745463,0.9838195443153381,12.0,0.0,12.0
